Year    Date
1875    3/28
1878    4/21
1881    4/17
1884    4/13
1887    4/10
1890    4/6
1893    4/2
1896    4/5
1899    4/2
1902    3/30
1905    4/23
1908    4/19
1911    4/16
1914    4/12
1917    4/8
1920    4/4
1923    4/1
1926    4/4
1929    3/31
1932    3/27
1935    4/21
1938    4/17
1941    4/13
1944    4/9
1947    4/6
1950    4/9
1953    4/5
1956    4/1
1959    3/29
1962    4/22
1965    4/18
1968    4/14
1971    4/11
1974    4/14
1977    4/10
1980    4/6
1983    4/3
1986    3/30
1989    3/26
1992    4/19
1995    4/16
1998    4/12
2001    4/15
2004    4/11
2007    4/8
2010    4/4
2013    3/31
2016    3/27
2019    4/21
2022    4/17
2025    4/20
2028    4/16
2031    4/13
2034    4/9
2037    4/5
2040    4/1
2043    3/29
2046    3/25
2049    4/18
2052    4/21
2055    4/18
2058    4/14
2061    4/10
2064    4/6
2067    4/3
2070    3/30
2073    3/26
2076    4/19
2079    4/23
2082    4/19
2085    4/15
2088    4/11
2091    4/8
2094    4/4
2097    3/31
2100    3/28
2103    3/25
2106    4/18
2109    4/21
2112    4/17
2115    4/14
2118    4/10
2121    4/6
1876    4/16
1879    4/13
1882    4/9
1885    4/5
1888    4/1
1891    3/29
1894    3/25
1897    4/18
1900    4/15
1903    4/12
1906    4/15
1909    4/11
1912    4/7
1915    4/4
1918    3/31
1921    3/27
1924    4/20
1927    4/17
1930    4/20
1933    4/16
1936    4/12
1939    4/9
1942    4/5
1945    4/1
1948    3/28
1951    3/25
1954    4/18
1957    4/21
1960    4/17
1963    4/14
1966    4/10
1969    4/6
1972    4/2
1975    3/30
1978    3/26
1981    4/19
1984    4/22
1987    4/19
1990    4/15
1993    4/11
1996    4/7
1999    4/4
2002    3/31
2005    3/27
2008    3/23
2011    4/24
2014    4/20
2017    4/16
2020    4/12
2023    4/9
2026    4/5
2029    4/1
2032    3/28
2035    3/25
2038    4/25
2041    4/21
2044    4/17
2047    4/14
2050    4/10
2053    4/6
2056    4/2
2059    3/30
2062    3/26
2065    3/29
2068    4/22
2071    4/19
2074    4/15
2077    4/11
2080    4/7
2083    4/4
2086    3/31
2089    4/3
2092    3/30
2095    4/24
2098    4/20
2101    4/17
2104    4/13
2107    4/10
2110    4/6
2113    4/2
2116    3/29
2119    3/26
2122    3/29
1877    4/1
1880    3/28
1883    3/25
1886    4/25
1889    4/21
1892    4/17
1895    4/14
1898    4/10
1901    4/7
1904    4/3
1907    3/31
1910    3/27
1913    3/23
1916    4/23
1919    4/20
1922    4/16
1925    4/12
1928    4/8
1931    4/5
1934    4/1
1937    3/28
1940    3/24
1943    4/25
1946    4/21
1949    4/17
1952    4/13
1955    4/10
1958    4/6
1961    4/2
1964    3/29
1967    3/26
1970    3/29
1973    4/22
1976    4/18
1979    4/15
1982    4/11
1985    4/7
1988    4/3
1991    3/31
1994    4/3
1997    3/30
2000    4/23
2003    4/20
2006    4/16
2009    4/12
2012    4/8
2015    4/5
2018    4/1
2021    4/4
2024    3/31
2027    3/28
2030    4/21
2033    4/17
2036    4/13
2039    4/10
2042    4/6
2045    4/9
2048    4/5
2051    4/2
2054    3/29
2057    4/22
2060    4/18
2063    4/15
2066    4/11
2069    4/14
2072    4/10
2075    4/7
2078    4/3
2081    3/30
2084    3/26
2087    4/20
2090    4/16
2093    4/12
2096    4/15
2099    4/12
2102    4/9
2105    4/5
2108    4/1
2111    3/29
2114    4/22
2117    4/18
2120    4/14
2123    4/11
